# number of KF, number of MP, UpdateLM[ms], SearchLP[ms], PoseOpt[ms]
27,1553,1.129436,4.026221,9.932541
27,1548,0.972633,4.244911,8.477774
27,1548,1.111296,4.152105,9.527938
27,1548,1.132512,4.186743,9.148379
27,1548,1.190008,4.555803,9.809652
27,1548,1.172829,4.026330,9.521184
28,1618,1.082036,4.387019,10.411509
28,1580,1.123358,4.218835,10.378456
28,1568,1.224491,4.660875,10.366048
28,1568,1.182918,4.479162,9.728460
28,1568,1.223400,4.156394,9.526238
28,1562,1.193705,4.719097,9.605154
27,1540,1.138891,4.060742,9.501676
27,1540,1.088026,3.983475,9.447321
27,1540,1.055243,3.902070,9.687764
27,1540,1.208947,3.892908,10.665220
27,1540,1.184774,3.986243,10.720629
28,1601,1.245581,4.057516,11.272624
28,1612,1.286426,4.250148,11.104359
28,1603,1.374677,4.437338,10.963432
28,1603,1.279774,4.688345,11.062841
28,1603,1.190733,4.571692,10.953975
28,1595,1.222323,4.401466,10.172774
28,1595,1.295404,4.269322,9.864689
28,1595,1.164535,4.056982,9.783430
28,1595,1.311860,4.468215,9.983735
29,1613,1.309258,4.390061,10.316250
29,1596,1.152078,3.786724,10.637324
29,1576,1.182479,4.626595,9.976607
29,1576,1.223735,4.224834,9.780103
29,1576,1.262776,3.831965,9.702761
29,1576,1.345761,4.070315,9.052241
29,1569,1.203463,3.905057,8.595565
28,1550,1.114620,4.007998,9.519847
28,1550,1.299866,3.896518,9.357814
28,1550,1.222266,4.817408,10.650442
29,1609,1.178031,3.903252,11.031627
29,1578,1.249465,4.120004,9.744343
29,1564,1.302301,4.323032,10.401253
29,1564,1.281192,4.247910,10.398904
29,1564,1.342823,4.301630,10.257201
29,1562,1.321218,4.721331,10.441732
28,1546,1.347835,4.653558,11.257724
28,1546,1.249058,4.780650,10.909847
29,1575,1.318536,4.348783,11.991671
29,1629,1.389445,4.713556,11.596626
29,1590,1.456634,5.153705,12.085397
29,1590,1.640029,4.724288,12.000555
29,1590,1.455088,5.298362,11.929126
29,1586,1.632416,5.044230,10.637357
28,1578,1.325038,4.837557,11.042201
28,1629,1.441142,4.952642,11.217389
28,1626,1.507188,4.321876,10.442897
28,1588,1.518074,4.780218,10.145043
28,1588,1.359231,4.241912,9.856110
28,1588,1.388772,3.975632,9.298433
28,1588,1.360378,4.273896,9.228626
28,1582,1.148132,4.056761,8.772684
27,1571,1.147351,3.206665,8.731403
27,1571,1.134073,3.116631,7.923821
28,1571,1.036673,2.936801,8.447337
28,1632,0.965213,3.600549,9.544936
28,1586,1.091140,2.970275,9.046768
28,1586,1.179419,3.393367,9.683920
28,1586,1.248340,3.707084,10.295547
28,1581,1.214916,3.617344,10.360216
27,1558,1.266379,3.424183,11.866128
28,1619,1.412518,3.453882,11.933869
28,1648,1.418197,3.655318,11.738182
28,1614,1.268348,3.556712,12.363709
28,1614,1.440813,3.591543,11.823263
28,1614,1.489190,3.579037,11.819822
28,1601,1.381570,3.783349,10.831609
27,1578,1.310326,3.397092,11.575942
28,1616,1.346423,3.625334,12.325039
28,1592,1.442778,3.570708,12.170371
28,1564,1.401255,3.911023,12.011472
28,1564,1.566761,4.060592,11.847827
28,1564,1.479126,3.891913,11.317309
28,1561,1.515209,3.943358,11.476539
27,1546,1.378653,3.494032,11.993404
28,1639,1.374195,4.057611,11.578480
28,1622,1.309103,3.303296,10.693182
28,1603,1.315660,3.327976,10.519458
28,1603,1.336588,3.830835,10.621715
28,1603,1.204722,3.285143,10.376046
28,1599,1.234603,3.637604,10.052077
27,1577,1.241181,2.990116,9.960571
28,1735,1.330067,3.604463,11.598296
28,1619,1.264347,3.485401,10.965206
28,1607,1.364733,3.548106,11.738232
28,1607,1.390451,3.631075,11.415815
28,1607,1.384794,3.536155,11.234837
28,1599,1.469680,3.955950,10.391720
27,1578,1.290443,3.239701,10.536251
28,1686,1.283493,3.803285,12.157237
28,1615,1.324892,3.509780,11.731528
28,1596,1.361575,3.532529,11.828364
28,1596,1.402546,3.389697,10.962360
28,1596,1.415165,3.431311,10.311440
28,1590,1.359037,3.043594,9.728035
28,1590,1.329972,2.631200,11.512094
29,1694,1.299747,3.043152,10.710721
29,1610,1.204716,2.515864,9.651964
29,1600,1.345573,2.560692,10.112531
29,1600,1.257732,2.691527,9.615356
29,1600,1.245341,2.860942,9.963554
29,1598,1.284024,3.577558,10.031373
28,1586,1.380902,3.520710,11.689642
29,1609,1.372729,3.529244,11.422814
29,1596,1.353361,3.389240,11.809274
29,1568,1.418606,3.402348,11.041075
29,1568,1.478707,3.720652,11.410809
29,1568,1.488405,3.494625,11.844659
29,1567,1.661029,3.764402,11.155592
29,1567,1.453702,3.238442,9.871062
30,1699,1.431772,3.512723,11.372308
30,1635,1.376534,3.345655,10.375623
30,1621,1.536001,3.707192,10.939290
30,1621,1.330579,3.303911,10.429712
30,1621,1.345235,3.108131,9.509411
30,1619,1.258583,3.073830,8.824876
30,1619,1.058077,2.782758,8.627296
31,1677,1.168065,3.020377,9.815158
31,1644,1.312150,3.082263,9.753632
31,1624,1.292685,3.426945,10.300666
31,1624,1.423167,3.538257,10.863367
31,1624,1.543805,3.789140,10.722153
31,1621,1.452954,3.765543,11.180394
30,1609,1.945049,4.466909,12.321374
31,1609,1.658119,3.539227,11.251627
31,1627,1.582593,3.656159,12.452021
31,1598,1.547775,3.401127,11.750978
31,1598,1.642125,3.747118,11.812937
31,1598,1.524501,3.430931,10.968304
31,1598,1.466775,3.142481,10.804298
31,1595,1.631596,3.152428,9.673996
30,1584,1.313881,2.608510,9.503724
31,1751,1.325547,3.150026,10.885083
31,1655,1.484098,2.795755,10.098249
31,1650,1.286223,2.701423,9.436319
31,1650,1.362429,2.680526,9.311283
31,1650,1.442979,2.353211,9.621727
31,1649,1.197929,2.722535,9.148242
30,1640,1.326678,2.517709,9.995280
29,1627,1.295521,2.807593,10.616002
29,1627,1.433054,3.134831,10.725188
30,1645,1.499286,3.519444,11.691156
30,1666,1.569242,3.645218,11.879665
30,1637,1.368337,3.449425,12.423209
30,1637,1.710336,3.556479,12.237651
30,1637,1.680055,3.642960,12.317686
30,1635,1.444075,3.637855,11.786930
29,1622,1.327383,3.433889,11.708880
30,1555,1.438147,3.294431,11.736209
30,1673,1.440144,3.592876,12.004410
30,1642,1.565742,3.412981,10.954996
30,1642,1.584604,3.456284,10.795715
30,1642,1.456840,3.106913,10.895345
30,1642,1.459732,3.076745,9.817663
30,1641,1.672524,3.386927,8.956661
29,1637,1.120927,2.758821,8.180672
30,1726,1.105001,2.865394,9.462297
30,1685,1.227762,2.625263,8.273428
30,1673,1.088287,2.702826,7.833269
30,1673,1.006196,2.659636,7.824556
30,1673,1.115441,2.580212,7.563484
30,1668,0.990935,2.691427,7.021873
29,1655,0.900590,2.511649,8.028053
30,1761,0.991012,3.047259,9.917272
30,1728,1.154906,2.876075,10.694963
30,1720,1.271131,3.677046,11.340566
30,1720,1.481894,4.032932,11.261654
30,1720,1.447921,3.718089,11.137309
30,1716,1.432158,3.944502,11.266083
29,1696,1.424381,3.457269,11.506289
30,1723,1.493646,3.491356,12.796134
30,1707,1.490437,3.561730,11.862527
30,1684,1.499638,3.799971,11.767528
30,1684,1.678321,3.784288,11.808160
30,1684,1.534335,3.729294,11.634821
30,1684,1.637642,3.932907,11.029568
30,1677,1.687270,3.997578,11.542710
30,1677,1.683149,3.699204,11.102179
31,1687,1.669538,3.658680,13.938824
31,1636,1.877290,3.516706,12.127169
31,1604,1.707117,3.497490,12.094615
31,1604,1.780146,3.692263,11.823615
31,1604,1.647282,3.817954,12.117120
31,1604,1.725852,3.617586,11.913739
31,1603,1.998592,4.175411,11.297862
31,1603,1.569677,3.371619,10.883647
32,1612,1.516171,3.216658,10.757696
32,1610,1.437357,3.148274,10.047980
32,1591,1.364211,3.035054,9.365393
32,1591,1.375185,3.062645,9.234839
32,1591,1.343214,2.917877,9.019970
32,1590,1.313275,3.155094,9.493495
32,1590,1.222138,3.089184,10.261576
33,1613,1.411987,3.883385,11.263517
33,1627,1.665466,3.601437,12.158720
33,1591,1.951413,3.468635,11.860836
33,1591,1.846557,3.760666,11.848495
33,1591,1.672390,3.588371,11.584682
33,1591,1.629318,3.404157,12.041584
33,1591,1.861218,4.026306,11.406864
33,1591,1.799800,3.568037,10.567556
34,1546,1.489061,3.364254,11.148570
34,1668,1.630036,3.665763,12.156766
34,1630,1.766446,3.581104,11.378644
34,1630,1.872419,3.723602,12.393972
34,1630,1.756229,3.796699,11.736841
34,1630,1.813360,3.793454,12.302093
34,1628,1.978902,3.881006,12.092034
34,1628,1.604997,3.841248,12.049311
35,1628,2.334145,4.136587,12.634146
35,1706,1.815744,4.095688,13.380176
35,1630,2.046172,4.346849,13.479535
35,1630,2.015681,3.864714,12.807015
35,1630,1.924668,4.000390,12.070674
35,1630,1.974322,4.001616,11.313293
35,1630,2.104478,3.810465,11.568632
35,1628,1.744651,3.923486,10.907432
34,1618,1.762653,3.691845,11.312415
35,1618,1.757440,3.438240,11.052082
35,1710,1.498176,3.745761,12.286451
35,1628,2.115691,3.707607,10.935037
35,1628,1.713261,3.593606,11.580048
35,1628,1.803068,3.548065,11.374647
35,1628,1.951177,3.554547,10.309432
35,1628,1.632662,3.802878,10.939526
35,1628,1.519957,3.373250,10.718058
35,1546,1.676469,3.171662,11.001675
35,1676,1.667514,3.524567,14.861620
35,1643,1.842132,3.742678,12.221343
35,1643,1.925265,4.031338,12.417581
35,1643,1.930268,3.913714,11.929916
35,1643,1.850909,3.804957,11.898085
35,1641,2.047147,4.092733,11.817696
34,1628,1.670458,3.817374,13.231517
35,1628,2.099283,4.264653,12.827079
35,1686,2.214711,4.115074,13.082231
35,1619,2.034656,4.106349,13.264331
35,1619,2.025349,4.127412,12.367866
35,1619,1.934038,3.950915,11.955168
35,1619,1.876409,3.743354,11.550537
35,1618,1.890706,3.581285,10.744534
35,1618,1.765206,3.507518,10.681284
34,1608,1.532603,3.001773,9.755375
35,1576,1.539964,2.765154,10.016310
35,1618,1.551672,3.133011,10.103261
35,1592,1.557374,2.795708,10.416450
35,1592,1.678900,2.952570,12.419259
35,1592,1.656085,2.863736,9.990845
35,1592,1.531508,2.777052,9.800162
35,1591,1.451608,2.870104,10.229780
34,1584,1.375799,3.677493,10.122713
33,1572,1.857475,2.619120,8.487599
33,1572,1.393459,2.760726,10.483756
34,1579,1.815339,3.178796,11.832063
34,1661,1.655166,3.155681,11.547853
34,1629,1.626298,3.303509,11.828582
34,1629,1.746986,3.653977,11.910360
34,1629,1.802595,3.679031,12.714419
34,1629,1.736903,3.601150,12.695242
34,1626,1.922665,4.085392,12.211421
33,1620,1.603414,3.847196,12.149868
34,1620,1.961802,3.971447,12.863260
34,1699,1.980530,4.345882,12.616696
34,1609,2.240449,3.729077,13.171000
34,1609,2.154841,3.869530,13.230411
34,1609,2.110550,4.087182,12.291509
34,1609,2.037890,3.804745,11.927328
34,1607,1.756970,3.712959,10.792880
34,1607,1.756344,3.318503,10.752157
33,1598,1.676105,3.199051,10.199981
34,1579,1.661321,3.280693,9.694374
34,1641,1.437305,2.962989,8.734724
34,1613,1.374496,2.861623,8.435305
34,1613,1.516755,3.152183,8.649133
34,1613,1.458517,2.891891,8.502850
34,1613,1.328418,2.728828,8.011125
34,1613,1.365381,2.808276,6.576636
34,1613,1.205050,2.374068,6.466603
35,1629,1.083213,2.508452,7.086957
35,1592,1.122622,2.393847,6.419413
35,1592,1.118814,2.500310,7.151640
35,1592,1.116988,2.666619,6.900289
35,1592,1.112760,2.517414,7.289506
35,1591,1.088526,2.751511,7.055547
34,1574,1.023793,2.470557,7.057231
35,1683,1.152766,2.812837,8.463353
35,1630,1.166892,2.697353,8.514123
35,1630,1.244254,3.230534,9.271654
35,1630,1.395094,3.206551,9.712295
35,1630,1.566669,3.942461,10.120558
35,1627,1.531383,3.490229,8.988984
34,1621,1.492115,3.884570,9.003290
35,1702,1.633614,3.627807,10.622654
35,1672,1.784669,3.416697,11.008911
35,1659,1.991132,3.634264,10.398252
35,1659,1.709591,3.619101,11.330295
35,1659,1.716141,3.700954,11.478038
35,1659,1.743472,4.178817,11.421165
35,1659,1.979101,3.646465,10.723122
35,1655,1.812585,4.105642,11.219620
34,1644,1.758782,3.544086,12.356375
35,1644,2.102659,3.556151,11.503364
35,1664,1.791841,3.545572,12.069392
35,1617,1.775217,3.482219,11.363048
35,1617,2.056247,4.175061,11.649456
35,1617,1.856018,3.750838,11.738458
35,1617,1.899094,3.656064,12.338983
35,1613,1.870517,3.845496,11.776876
34,1605,1.547192,3.591802,11.449442
35,1605,1.775766,3.339533,11.014511
35,1653,1.595524,3.857229,11.849813
35,1614,1.765836,3.461783,10.874835
35,1614,1.802131,3.489038,11.425544
35,1614,1.753142,3.443492,11.281448
35,1614,1.786418,3.430948,11.314768
35,1612,1.866542,3.764690,11.403662
35,1612,1.733936,3.429107,11.332541
36,1612,1.769630,3.418109,11.244640
36,1626,1.883068,3.479630,12.281830
36,1561,1.993747,3.456613,11.755754
36,1561,2.061361,3.899555,12.361963
36,1561,2.132857,3.626172,11.982306
36,1561,1.954452,3.464722,12.098285
36,1560,1.883474,3.617557,12.250022
36,1560,1.753275,3.404874,11.759343
37,1560,1.965382,3.337404,11.758237
37,1646,1.786764,3.422649,13.006044
37,1588,2.069248,3.314562,12.408953
37,1588,2.114799,3.711892,12.264264
37,1588,2.101730,3.521758,12.648185
37,1588,2.091907,3.552263,12.566186
37,1588,1.995463,3.589561,11.547249
36,1583,1.577462,3.513881,12.337382
37,1583,1.935181,3.961233,12.606029
37,1646,1.935493,3.594463,13.053663
37,1606,1.992151,3.753776,11.639975
37,1606,2.203568,4.051836,12.442560
37,1606,2.219936,3.966313,12.247217
37,1606,2.290543,4.462096,12.170844
37,1605,2.191159,3.984973,11.467101
37,1601,2.128742,3.578680,11.645200
37,1600,1.819150,3.521988,11.395654
37,1647,2.237733,3.677047,11.600451
37,1596,1.907136,3.231780,11.475579
37,1596,1.957961,3.381015,11.235426
37,1596,2.312574,3.349277,10.502089
37,1596,1.800768,3.090867,10.264503
37,1594,1.792427,3.181599,9.519401
36,1567,1.577801,3.099881,10.211238
35,1558,1.482093,2.761273,8.806511
36,1619,1.484806,2.776650,9.775041
36,1592,1.494060,2.668921,9.232683
36,1579,1.427518,2.620341,8.773706
36,1579,1.470957,2.577270,8.678511
36,1579,1.450295,2.573321,8.555954
36,1579,1.405661,2.452154,7.853298
36,1579,1.380261,2.462864,7.403588
35,1575,1.136209,2.019674,7.033536
36,1702,1.253033,2.353554,8.177629
36,1641,1.166706,1.970275,7.340080
36,1636,1.161640,2.030831,7.511659
36,1636,1.158625,1.929952,7.092247
36,1636,1.079809,1.865927,6.609226
36,1633,1.367080,1.915462,5.741028
35,1626,0.971829,1.701899,6.499353
35,1626,1.004371,1.545280,6.285087
36,1712,0.975799,1.641383,7.334315
35,1664,1.014812,1.692552,6.386976
35,1664,0.939915,1.749050,6.387184
35,1664,1.238439,1.780346,6.062346
35,1664,0.837231,1.402138,5.782419
35,1662,1.926682,1.476005,5.028445
35,1662,0.864390,1.380389,5.679049
36,1812,0.778808,1.583727,7.030023
36,1775,0.813613,1.432926,7.087496
36,1775,0.892182,1.550986,6.582509
36,1775,0.824109,1.659283,6.631671
36,1775,0.868639,1.535565,5.986193
34,1770,1.194192,1.463634,5.228315
34,1768,0.732513,1.356526,5.413312
33,1767,0.736543,1.306789,5.377924
34,1929,0.735134,1.639667,7.327206
35,1892,0.753930,1.580870,6.602990
34,1892,0.723922,1.471865,6.357146
34,1892,0.708355,1.428625,6.274004
34,1887,0.677192,1.608306,5.797255
34,1887,0.633913,1.371108,6.105292
33,1882,0.650622,1.393673,5.470818
34,2003,0.679018,1.415670,6.974816
34,1970,0.788012,1.416963,6.280718
34,1970,0.695476,1.453904,5.832829
24,1925,0.567951,1.419273,5.659382
29,1936,0.631291,1.483608,5.078656
27,1924,0.545554,1.324434,5.339589
28,2014,0.519119,1.400569,6.451394
28,1983,0.570270,1.338762,6.211606
28,1983,0.583097,1.415932,5.749246
28,1983,0.564700,1.351892,6.014968
18,1905,0.501569,1.443527,5.025931
18,1910,0.494189,1.613203,5.361220
18,2002,0.399837,1.550625,7.028335
18,1997,0.452196,1.655669,6.426274
17,1945,0.492081,1.467275,5.879081
17,1945,0.482663,1.396568,5.564976
